source1_entity_id	matched_entity_ids
S1-522693754	S2-299915106,S3-980157467,S3-429392758
S1-257849558	S2-11800211,S2-427100831,S2-474618399,S3-756088720
S1-227804582	S2-126012527,S2-260875704,S3-11579765
S1-441470524	S3-857886916,S3-469676435
S1-221750485	S2-47496281,S2-868293034,S2-373948778,S3-215668981,S3-792833085
S1-909178195	S2-566883221,S2-838982350,S3-859004795,S3-851032897
S1-797867531	S3-81360642,S3-579636339,S3-576185902
S1-522808401	S2-113612854,S2-285446463,S3-477569408,S3-996703602,S3-950798860
S1-976739153	S2-71101790,S2-43399576,S3-938536310,S3-448937032
S1-325381416	S2-883505606,S2-522989755,S2-12873838,S3-8919312
S1-708146299	S2-156372582,S3-212064515,S3-863872632,S3-799485491
S1-211861607	S2-177541103,S2-566938075,S2-834025533,S3-935738710
S1-846984252	S2-208687734,S3-103919549,S3-128626732,S3-967809946
S1-447639119	S2-900562499,S3-81756328,S3-797690240
S1-307144577	S2-527024579,S2-476052699,S3-939862623
S1-779475274	S2-517455990,S2-341237670,S2-435363168,S3-772139233,S3-500899019,S3-860282739
S1-605458817	S2-147810772,S2-398951970,S3-965833905
S1-102961481	S2-571818411
S1-366327432	S3-547358135,S3-258522271
S1-487364714	S2-805885442,S2-413981780,S3-651512595
S1-259814901	S3-27434997,S3-571297818
S1-913512346	S2-542660325,S3-113183098,S3-601806725
S1-812005357	S2-916349822,S3-652116177
S1-5799725	S2-573443469,S3-507373068,S3-548122608,S3-137497298
S1-529127487	S2-490142716,S3-321872958,S3-50508811
S1-174129319	S2-686289569,S3-671553961,S3-883311216,S3-528612711
S1-460910085	S2-668639127,S2-132670593,S2-562745713,S3-631330745,S3-242546828
S1-50432426	S2-149858467,S3-747297402,S3-475367941,S3-206631711,S3-515362882
S1-226753227	S2-935925141,S2-16208638,S3-620905670,S3-930357614
S1-883994864	S3-793361611,S3-773948613
S1-107507553	S2-437768334,S2-397450420,S2-954131440,S3-442349448
S1-26725411	S2-879765932,S3-423830678
S1-263149000	S2-251092923,S2-14681501,S3-480007268
S1-262703093	S2-748061119,S2-760054796,S2-571959117,S3-108112247
S1-556010371	S2-143772764,S2-656803883,S2-455894655,S2-204976770,S3-996419152
S1-576366269	S2-173565278,S3-73259265,S3-462762396
S1-966309975	S2-14773876,S2-234859408,S3-135162247
S1-142735138	S3-748593779
S1-310864026	S2-862209619,S3-439121960,S3-437732914
S1-730729612	S3-933916480,S3-90225817
S1-469770655	S2-523235131,S3-719779871,S3-473112634
S1-132337315	S2-609927808,S3-991790262
S1-964061525	S2-48150903,S3-610678565
S1-722038266	S2-327450884,S2-876594130,S2-511393932,S3-932407473,S3-140478202,S3-541353681
S1-147096720	S2-114825306,S2-950376731,S3-769077870,S3-483517945,S3-825691773
S1-899130371	S2-753131131,S2-713722016,S2-458958952,S2-991872384,S3-907098075,S3-602847606,S3-692012713
S1-373728715	S3-101903811
S1-140269631	S2-898592422,S2-211596680,S3-643878740,S3-225558114,S3-127978162
S1-452952997	S2-208952260,S3-287869437,S3-340176813
S1-341729858	S2-755918042,S3-695983932,S3-284174400
S1-806301921	S2-867981755,S3-326964816
S1-820779251	S2-603774033,S2-908351516,S2-932736009,S3-563349083,S3-581372799
S1-752991527	S2-659528679,S2-558493943,S2-942816725,S3-232618806,S3-131056756
S1-671412118	S2-827645708,S3-754781367,S3-488832318,S3-499938874,S3-392855126
S1-368280947	S2-545287063,S2-997162781,S3-307180478,S3-3010960
S1-242338078	S2-106967998,S3-992043884,S3-217651110,S3-319402591,S3-393548592
S1-11647218	S2-764322915,S3-756393463,S3-360064287,S3-878555228
S1-844784547	S2-83912066,S3-352456266
S1-288151490	S2-824821547,S3-739227565
S1-715861982	S2-236816546,S3-233269099
S1-839529323	S2-450532326,S2-72944782,S2-126253528,S3-777651590
S1-555777885	S3-588274363,S3-16386324,S3-679571431,S3-651131117
S1-362852759	S2-734629441,S2-327143187,S3-514461449,S3-241362131,S3-16478716
S1-888202611	S2-661830080,S3-475913760
S1-213971999	S2-514204370,S2-162677464,S2-166650287,S3-716545031,S3-416535175,S3-104324649,S3-965994079,S3-59369642
S1-275501401	S2-517115996,S3-875539545
S1-621084024	S2-408510374,S2-243569608,S3-753515012,S3-439407323
S1-480520887	S2-554735213,S3-189433394,S3-485308518
S1-961253382	S2-549671053,S2-322189829,S3-59609103,S3-325866204
S1-364920144	S2-315792070,S2-926954944,S2-426184057,S3-461626113
S1-993584073	S2-473426971,S3-124437852,S3-731441142
S1-582180413	S2-558884990,S2-209358015,S2-903188739,S3-857450512,S3-738263257
S1-975571827	S2-295716598,S2-918082374,S3-431067807
S1-830881839	S2-910995476,S3-90939205,S3-678309600
S1-80408650	S2-876116173,S2-759022035,S3-693683170
S1-825809628	S2-920189333,S3-171087667,S3-167351867,S3-993236376,S3-32097394
S1-721743574	S2-670481148,S2-526281796,S3-8746814,S3-70353233
S1-519025117	S2-450211071
S1-341634331	S2-454444888,S3-452395543
S1-789219306	S2-120557165,S3-724488070,S3-691792906
S1-502417969	S2-891604866,S3-225331068
S1-973156614	S2-992263250,S3-146429045,S3-237091039
S1-451766272	S2-717458514,S2-108773954
S1-512364754	S2-590581,S2-416187494,S3-29968761,S3-617292987,S3-339567025
S1-329832157	S2-933046511,S3-218934201,S3-133781738
S1-881813159	S2-436449818
S1-764175750	S2-77112782,S3-38568561,S3-305197851,S3-401464949,S3-297804184,S3-934645690
S1-411727024	S2-203049275,S2-399582360,S3-87436312,S3-974692259,S3-683224672,S3-804893096
S1-346715589	S2-592977215,S3-683280967,S3-591094339
S1-315540708	S2-557746033,S2-910487048,S2-670870279,S3-836010426,S3-510567798
S1-552104902	S2-2665470,S2-990265534,S2-668982676,S2-536674182,S2-583513122,S3-467845895
S1-627285279	S2-16911130,S3-201304468,S3-563168432
S1-679338222	S2-814470453,S2-856142141,S3-569734745,S3-761689993
S1-391642916	S2-414602654,S3-346709115
S1-922605267	S2-394680308,S2-163619632,S2-309432151,S3-875486584
S1-350010068	S2-819076381,S3-215304150,S3-340307355,S3-784946119,S3-221475734
S1-123299128	S2-859949858,S2-596417945,S3-531611140
S1-28432641	S2-813022931,S2-150154205,S3-278654976
S1-515966110	S2-916818983,S3-344930294,S3-341179278,S3-372776972
S1-804363813	S2-416293788,S3-801139609
S1-690700988	S2-201794974,S3-661809582,S3-367508224
S1-513513146	S2-154927506,S2-956982693,S2-990679372,S3-538474062,S3-543364694
S1-715151495	S2-395772965,S3-970829740,S3-84729757,S3-663704449
S1-180356987	S2-27491925,S3-512718423,S3-990610538
S1-668759233	S2-953367122,S2-447884948,S2-650918283,S2-102883737,S3-267536603,S3-493112855
S1-561560160	S2-631128683,S2-871006347,S2-98743639,S2-160449396,S3-949352080,S3-448621645
S1-478271737	S2-788546730,S3-607434485,S3-684532517,S3-725294583,S3-41940926,S3-529473660
S1-292161145	S2-103317911,S2-711304076,S3-510567868,S3-79114439
S1-409903389	S2-627603932,S2-653445259,S3-25987313,S3-865654253
S1-941246380	S2-995542235,S2-269270866,S3-991580266,S3-638046287,S3-811849473
S1-690718478	S2-367638246,S2-523231282,S2-217581050,S2-688472237,S3-13069900,S3-105630600,S3-926578054
S1-613551076	S2-437588235,S2-352954235,S3-531621317,S3-972795028
S1-146110036	S2-440063466,S2-495876277,S2-375376712,S3-281144175,S3-539564162
S1-181742960	S2-560642064,S3-53716936,S3-593164298
S1-710077447	S2-394714746,S2-216085222,S2-811681796,S2-631105262,S3-769778088,S3-449888125
S1-500841322	S2-103826143,S2-441507670,S2-232578454,S2-834528245,S3-492649822,S3-50499218
S1-22286338	S2-911327610,S2-80598269,S2-805667126,S3-585487325,S3-39130073,S3-633873729
S1-75498147	S2-967877539
S1-175644321	S2-761094400,S2-515278957,S2-808718017,S3-566818739,S3-978673476,S3-870580145
S1-703419778	S2-519643814,S2-467221654,S3-505577031,S3-163944173
S1-526964981	S2-76852396,S2-705827573,S2-118853015,S2-894139555,S3-5284984,S3-443736390,S3-422641360
S1-854227623	S2-263792121,S2-158958386,S2-901346570,S3-218536402,S3-681205304,S3-508770404
S1-870131289	S2-761001678,S2-13245260,S2-156630406,S3-265733658,S3-280540769,S3-859911190,S3-391952862
S1-425930217	S2-163144203,S3-297176021,S3-156555434,S3-319608373
S1-313407001	S2-902563567,S3-907875880,S3-227680136,S3-149810745,S3-368595193
S1-248776267	S3-974873387
S1-665225603	S2-381824395,S2-320961270,S2-376761829,S2-299843025,S3-327551962,S3-39841469
S1-844099287	S2-112049632,S2-753762156,S2-750554850,S3-615032668
S1-609730619	S2-20353082,S3-749599438
S1-425724717	S2-883271267,S2-513790793,S2-481651619,S2-584501236,S3-2861698,S3-520432017
S1-550160523	S2-716394893,S2-784973653,S2-75491135,S3-249198535
S1-284170892	S2-634768802,S2-116763425,S3-285690118,S3-418367043
S1-533869638	S2-433510868,S3-625057582
S1-468849574	S2-66717834,S2-675926890,S3-689248307,S3-382251430
S1-673757298	S2-615578711,S2-852095562,S3-151329035
S1-290028383	S2-675389009,S3-411397276
S1-11835792	S2-576062485,S2-504793407,S3-429807627,S3-900034481
S1-587144744	S2-881194702,S2-775197773,S3-774376810
S1-150331298	S3-132540785,S3-644167034,S3-837509008
S1-402858407	S2-943596339,S2-125402274,S3-254547042,S3-417064940
S1-975701799	S2-567629099,S2-40370188,S3-725868820,S3-532090297
S1-706014441	S2-315563241,S3-430683432,S3-572174325
S1-654347800	S2-735876843,S3-459629267,S3-524741348
S1-552181691	S2-977940350,S2-803566061,S3-735448734
S1-473920584	S2-449016034,S2-652931552,S3-497992050
S1-314890262	S2-6345500,S2-390684115,S3-112066788,S3-876475336,S3-909653178
S1-868302622	S2-444979364,S3-247765233
S1-484250863	S2-660466141,S3-746853103,S3-933483459
S1-111634315	S2-555453578,S2-252343086,S2-92317782
S1-246320131	S3-147770781
S1-318492526	S2-132786885,S3-195318801,S3-528395237,S3-646624983
S1-92768389	S2-304999294,S2-499084316,S3-933505659,S3-280707982,S3-64637573
S1-309269701	S2-138949112,S3-790733873
S1-807758362	S2-440396934,S3-224174782,S3-475650667
S1-345642290	S3-382676909,S3-133568997
S1-277927901	S2-672148463,S2-147085664,S3-567385735,S3-74266980,S3-172007520
S1-952292078	S3-152398114,S3-411335940,S3-921776678
S1-353067207	S3-974128830
S1-6075029	S2-220908217,S3-743117507,S3-417372286
S1-655006764	S2-94446806,S2-749795165,S2-913472995,S3-441803940
S1-519241785	S2-387165318,S2-913861791,S2-155013345,S2-916177071,S3-964645662
S1-565779151	S2-352672629,S2-968989641,S2-249016641,S3-580325007,S3-139823540,S3-466779540
S1-278590250	S2-681999185,S3-422877851
S1-135258602	S2-909946,S3-569321289,S3-446133175
S1-238333381	S2-150463561,S3-378144702,S3-940404114
S1-646967910	S2-370023071,S2-545975487,S3-514335390
S1-56862464	S2-669712899,S3-727847038,S3-813288207,S3-154218199
S1-574392977	S2-136628286,S3-448060584,S3-751226792,S3-379659385
S1-951155720	S2-611591405,S3-129361114,S3-238865496,S3-237078271
S1-928294154	S2-481804821,S2-74051176,S3-964162996
S1-455095147	S2-429851811,S3-530474568,S3-268110778,S3-957762679
S1-218794919	S2-908469452,S2-616219976,S2-555289774,S2-789705882,S3-394737071,S3-795946058
S1-788130015	S2-274960898,S2-116655288,S2-718971461,S3-875920804,S3-944779724
S1-693424017	S3-637799232,S3-574141900,S3-824505881,S3-916564889
S1-773696322	S2-818405788,S2-537916998,S3-301053476,S3-996590532
S1-827986456	S2-618526119,S3-763432472,S3-361295799,S3-958944302
S1-266164397	S3-172357617,S3-212589641,S3-646289315
S1-53187331	S3-900227260,S3-438157802
S1-334688849	S2-109752314,S2-331465156,S2-331620621,S2-677844213
S1-884074524	S2-894449430
S1-40003273	S2-274067392,S2-301106101,S3-506371359,S3-39547530
S1-563779473	S2-316052622,S2-859781424,S2-119898083
S1-989128289	S2-391910998,S3-817802788,S3-2515523,S3-858811791,S3-750734057
S1-217452158	S3-785652803,S3-526392896
S1-512705745	S2-352056365,S3-58315117
S1-31006198	S2-40291537,S2-611355522,S3-993488293
S1-219412230	S2-381199194,S2-426388647,S2-565304838,S3-966199589,S3-35539362,S3-416124113
S1-261717453	S2-895255328,S2-254163749,S3-194706797,S3-238607407
S1-279139618	S2-515888999,S2-404954074,S3-637199322,S3-485073720,S3-686733188,S3-714813496,S3-751073317
S1-22124568	S2-847561404,S2-580853522,S2-156774326
S1-162432183	S2-576908587,S2-945969323,S3-831954034,S3-334600243,S3-847751813
S1-602161635	S2-316254050,S2-405627689,S3-836694717
S1-854547437	S2-642981830,S3-949355478,S3-73922686,S3-584255348,S3-151016158
S1-708103865	S2-213722801,S3-212208232,S3-1754732
S1-764867519	S2-634397579,S2-282416648,S3-331195925,S3-43672552,S3-395577000
S1-807590124	S2-580054089,S2-50297039,S3-132401560
S1-692111922	S2-365168422,S3-848890867,S3-413028729,S3-285439588
S1-889676953	S2-473545022,S3-749297005,S3-464869082,S3-328030237,S3-352640665
S1-541774749	S2-716193151,S2-464150586
S1-413665268	S2-502027095,S3-421378513
S1-483338679	S2-126668391,S2-307468146,S3-760288172,S3-635337210
S1-29400447	S2-871452582,S2-324408247,S2-11932662,S2-521619615,S3-20411716,S3-227602631
S1-133274923	S2-360279358,S3-598273679
S1-607640997	S2-370509312,S2-622375552
S1-401445698	S2-704469209
S1-641382136	S2-594505489,S2-327638009,S3-409304951
S1-740653166	S2-304931356,S2-508261673,S3-551211349
S1-917937383	S2-3727192,S2-969723407,S3-400901132,S3-73015375
S1-435279541	S2-80827494,S2-426914813,S2-125627574,S3-403288379
S1-161396799	S2-658689598,S2-916961998,S2-530082928,S3-824573196,S3-420849088
S1-449125375	S2-234831408,S2-304791481,S3-482729906,S3-596952756,S3-355402862
S1-106693643	S2-144962083,S2-630800389,S3-43792643
S1-922323605	S3-740045180,S3-119951408,S3-705967540,S3-429207001
S1-406559496	S3-83263707
S1-239695750	S2-7448861,S3-413725265
S1-837533083	S2-856949574,S2-176723031,S3-334623127,S3-860524901,S3-260327805,S3-855427481
S1-257546833	S2-695198503,S3-733188369,S3-566664194,S3-741178898
S1-592721607	S2-332720252,S2-732380638,S3-421260810,S3-354449287,S3-691310934
S1-140367159	S2-710566252,S3-227561745,S3-629947111,S3-361447877,S3-83595778
S1-187981823	S2-915212785,S2-977532332,S3-847400927,S3-245187744,S3-746892806
S1-854483132	S2-528951494,S2-149273054,S2-677130477,S3-651114132,S3-462987330,S3-347279111
S1-962515036	S2-95589739,S3-464564697
S1-429053654	S2-834883633,S2-723413644,S3-701124545
S1-486914502	S2-267064383,S2-611954746,S3-546525923,S3-990791521
S1-510453317	S3-54462431,S3-425018858
S1-596953606	S2-722052560,S3-625763281,S3-501912842
S1-541434971	S2-575119560,S2-377657212,S2-84049246,S2-602041414,S3-854990052
S1-416029304	S2-584844513,S3-77756912
S1-501501997	S2-666262535,S2-461663011,S2-499003695,S3-292521295,S3-59515002
S1-894111627	S2-813168227,S2-229954095,S2-955320206,S3-997340397
S1-527740911	S2-248394213,S2-469193766,S3-887209935,S3-499180047
S1-907620713	S2-550815679,S2-275978645,S2-994854830,S3-218185345
S1-584272965	S2-16728045
S1-673386535	S2-607190484,S2-596307600,S3-269227816,S3-999992063
S1-189539466	S2-810268417,S2-770364051,S2-906575194,S3-180824488
S1-807291210	S2-88118127,S3-840851609
S1-931092116	S2-18893232,S2-86188412,S3-301205048
S1-63373412	S2-282534288,S3-156980592,S3-69724349
S1-445371731	S2-540966738,S3-379706390
S1-860106373	S2-641463535,S3-594126021
