entity_id	business_name	business_address	country
S1-183582136	Womens Health First Clinic LLC	TX, Lubbock, 3508 38th Street	US
S1-522521870	New Delhi Industrial LLP	Cp-116 First Floor Maurya Enclave Pitampura, New Delhi, North West, Delhi	India
S1-548294012	National Lithium LLC	TN, 200 Second Avenue, Jonesborough	US
S1-844784547	RPW Federal Cayson Inc	1611 Bronco Lane, Badger, AK	US
S1-384400545	Kolkata Solutions Ltd	1858/1, Rajdanga Main Road 5Th Floor, Unit No 5/12, Kolkata, Kolkata, Acropolis, Howrah, West Bengal	India
S1-972175050	Othilie Rodriguez Printing LLC	114 Divins Court, Richmond, KY	US
S1-19650681	Mountain Center LLC	Greenbrier, 158 Irene Circle, AR	US
S1-660456060	Balaji Hospitality Private Limited	H.Ho.169, F/F, Village- Ali, K Mpur Near Dsiidc Comple, Delhi, Central Delhi, Delhi	India
S1-708146299	A Cure 8 All	12214 Autumn Dale Court, Maryland Heights, MO	US
S1-690700988	Bryant's Precision Skin Care	1403 Adams Circle, Hampton City, VA	US
S1-190897820	Red Media Private Limited	Jutika Apartment, Two-Fr, Fl-2D, 11/1 Sunny Park, Kolkata, Kolkata, Howrah, West Bengal	India
S1-22286338	Innovative Wireless Innovations Inc	13560 Mason Drive, Tell City, IN	US
S1-309859844	Nanice Espinal Investments	41956 Venn Road, Antioch, IL	US
S1-671898075	Madhapur Services Pvt Ltd	Serinity Square, Plot No: 37, & 38 Opp.The Westin Hotel, Raheja Mind Space, Hitec City, Madhapur, Hyderabad, Telangana	India
S1-353736362	Equinox	11703 Plumpoint Drive, Houston, TX	US
S1-919377291	Yolande Brown Telecom Inc.	1224 2nd Street, Robinson Township, PA	US
S1-490885913	Technology Ramling Rising Private Limited	Be-372, First Floor Hari Nagar, New Delhi, West Delhi, Delhi	India
S1-707265864	Noida Infraestates Limited	B-300 Sector-20, Noida, Gautam Buddha Nagar, Uttar Pradesh	India
S1-872140900	Underwood, Stowe & Monroe Care	TX, 5018 Waddell Street, Fort Worth	US
S1-784017016	Waves Trading Private Limited	Shyamala Towers, Iii Floor No.136 Arcot Road, Saligramam, Chennai, Tamil Nadu	India
S1-664752852	Royal Packaging Corporation Partners	PA, 1104 Freedley Street, Conshohocken Borough	US
S1-529931481	Beth Church	2828 A Adams Street, Seattle, WA	US
S1-180356987	Lyryx Launch	New Albany, 410 Village Circle, IN	US
S1-290776815	GK Value Illumination LLC	7501 W Shore Drive, Edina, MN	US
S1-509635264	International Ahmed Health Corporation	Sabji Mandi Sarhaul- Guru, Palam Road, Haryana, C/O Pramod Kumarsector-18, Gurgaon	India
S1-142675027	Superior Property Technologies Inc	36 Bluefish Lane, Palacios, TX	US
S1-992222008	Allied Trusted Optics Inc	167 Taylor Road, Cornwall, NY	US
S1-966309975	Let Peoples (India) Private Limited	Sultanpur Road, Kapurthala, Punjab	India
S1-997628666	Diamond Wealth Technologies	Everett, Unit 2, MA, 24 Adams Avenue	US
S1-137910615	Mceachern, Anderea, CPA, DDS PC	6515 Christmas Tree Road, Campbellsburg, IN	US
S1-406559496	Melvin Bnb LLC	11 Orchard Avenue, Clarkstown, NY	US
S1-346715589	Shiv Traders Pvt Ltd	35/387, Safa Square, Poovathil Building, First Floor, Near Chilton Towers, Koonamthai, Ernakulam, Kerala	India
S1-544038306	FW Fuels Private Limited	No.824 / 6 & 7, Byramangalam Village Kelamangalam Road, Denkanikottai Taluk, Krishnagiri, Dharmapuri, Tamil Nadu	India
S1-417688321	Krishna Management	Plot No-Lb-86, Badagada Brit Colony Ps-Badagada, Bhubaneswar, Khordha, Orissa	India
S1-371090697	Castro and Mcqueen LLC	115 Rutherford Drive, Rockwall, TX	US
S1-465036428	Ceniify Consultants	1443 Teneighth Way, Sacramento, CA	US
S1-308376796	Wingate's Tire Shop LLC	8106 Maplegate Place, Glenn Dale, MD	US
S1-638032828	Atlantic Initiative	14020 Black Canyon Highway, Unit 1081, Phoenix, AZ	US
S1-512705745	Black Builders Limited	C/O- Baleshwar Mahto, Ward No.04, Vill & Po- Chaksikandra, Ps- Tajpur, Samastipur, Bihar	India
S1-820779251	Dynamic Optimal Third Inc	117 Spring Street, Bessemer, AL	US
S1-864922921	Primary Care Medicine of Richmond Hill Inc	136-06 87 Avenue, Richmond Hill, NY	US
S1-646967910	Fortune One Developers Private Limited	No 18 Kno 334 Thuberahalli, Bangalore, Karnataka	India
S1-173125407	Bright Solid	522 Windrow Lane, Waxahachie, TX	US
S1-116292005	Cornerstone Investments L.L.C.	1475 Manitowoc Road, City Of Menasha, WI	US
S1-181742960	White Financial LLC	18036 Pheasant Lake Drive, Tinley Park, IL	US
S1-524078175	Jain Hospitality Limited	B-54, Karni Nagar, Near Karni Bhawan Palace Hotel, Lalgarh, Bikaner, Rajasthan	India
S1-461958135	Brit Cash Modern Proem Co	15758 Willow Drive, Fontana, CA	US
S1-501501997	Morris & Sotelo Inc	Unit 4, Lynn, MA, 555 A Summer Street	US
S1-647547897	WF All Greenfire Inc	157 John Henry Circle, Folsom, CA	US
S1-693424017	Hari Software Limited	H. No 2M/94, B.H. Colony, Kankarbagh, Sampatchak, Patna, Bihar	India
S1-368800238	Lakshmi Global Private Limited	7-4, Sanath Nagar, Hyderabad, Telangana	India
S1-242338078	Randolph, Rolls and Zacharias Care	403 Wilson Drive, Midwest City, OK	US
S1-140269631	United Fuel LLC	9001 Drummond Avenue, Portland, OR	US
S1-190973617	Optimal Gulf Chile	953 Biersdorf Street, Carbondale, IL	US
S1-647469291	Dedyne	2114 Ashley Road, Unit 2501, Charlotte, NC	US
S1-589495620	Krishna Foundation Private Limited	Near To Govt. Girls. S. S. School, Mudki, Firozpur, Punjab	India
S1-102961481	Kelley Chiron LLC	4840 Pebble Way, Unit APT F, Indianapolis, IN	US
S1-318492526	King Federal Colombier Inc.	550 Forest Park Court, Unit B, Dayton, OH	US
S1-355189296	Heart Institute LLC	6119 159th Street, Omaha, NE	US
S1-355566568	Industries Trio Note	51/6, Ho-Chi-Minh Sarani, Flat 10, Fourth Floor, Kolkata, Kolkata, Howrah, West Bengal	India
S1-608626674	Big Cafe LLC	11571 Christmas Cholla Drive, Fl 1, Scottsdale, AZ	US
S1-690719060	Atlantic Wireless Works PC	12 Battles Farm Drive, Brockton, MA	US
S1-593312110	Tedyne PC	240 Allen Bachman Way, Allen, NY	US
S1-413665268	Ventures Aazhi Agencies Corp	Plot No-210/A, Allapur, Kukatpally, Balanagar, Hyderabad, Telangana	India
S1-200024278	Koyo Clothing Private Limited	C/O Mr.Santhibhooshan M S, Mangattunjalil House, Pullu-Temple, Nr Church Back House, Thrissur, Kerala	India
S1-973313870	Noriega Oneim Inc.	1125 Spring Street, Grinnell, IA	US
S1-661807190	Mendez's Excavation PLLC	914 Charlotte Drive, Anoka, MN	US
S1-954299608	North Services Private Limited	S-13, Sarthak The Mall, Gandhinagar, Gandhinagar, Gandhi Nagar, Gujarat	India
S1-838724147	Cherey Gandy, Ph.D.	MO, Saint Louis, 18 Fair Oaks Drive	US
S1-71152932	Shyam Industries Private Limited	Plot No. 35 Kh.No. 76/15 Ground Floor, Blkh-2, Budh Vihar Pooth Kalan, New Delhi, Delhi	India
S1-937064726	Karlene Mess Creative Harbor	950 Martin Luther King Jr Way, Merced, CA	US
S1-807590124	Baon Inc.	740 Lanoir Street, East Ridge, TN	US
S1-402575333	Dionis Nelson First Development LLC	806 Portage Street, Unit A, Arlington, WA	US
S1-826085565	Om Infotech Private Limited	Shop No. 103, First Floor, Universal Plaza 13/20, W.E.A, Karol Bagh, New Delhi, Delhi	India
S1-868302622	Cfl Systems Pvt. Ltd.	No 51, Second Floor, Bootstart Co Work, Rishab Arcade, Sanjay Nagar, Bangalore North, Bangalore, Karnataka	India
S1-547778479	Disha International Pvt Ltd	Shop No. 4, Maharashtra, Null Bazaar, Taapia Mansion, 185 Erskine Road, Mumbai	India
S1-813330769	Oncology Allied Specialists	985 Serendipity Drive, Aurora, IL	US
S1-19525485	Dermatology Summit Physicians LLC	317 Circle Drive, Salem, IL	US
S1-44839286	Great Hospitality Limited	Sy No 34 Raidurga Nav Khalsa Serilingampally, Hyderabad, Telangana	India
S1-985361513	Capital Optimal Mckinley Inc	Washington, DC, Unit 302, 2115 Maryland Avenue	US
S1-626023312	Baba Projects Private Limited	A-44, G-2, Vds Business Center, Sector-2, Noida, Noida, Gautam Buddha Nagar, Uttar Pradesh	India
S1-64045554	Peninsula Clinic	Sr No 223/1, H No. 1309, Pareejat H Socy, Hadapsar, Pune, Maharashtra	India
S1-163931589	Perfect It Private Limited	Door No. 52/3028 D, 3Rd Floor, Syama Dynamic, Vytila Junction, Cochin, Ernakulam, Kerala	India
S1-901026730	Frontier Braves	5109 Eagle Ridge, Springfield, IL	US
S1-89282797	Timber Inc	11504 1/2 Spruce Canyon Drive, Austin, TX	US
S1-889676953	Baptist First Services	280 14th Street, Newark, OH	US
S1-560431944	Pettijohn's Freight	11215 Ditman Avenue, Kansas City, MO	US
S1-977781104	Great Project	MD, 3402 Pendleton Drive, Silver Spring	US
S1-488485030	SC Nidhi Private Limited	Shop Rz B-4 Raghu Nagar, New Delhi, South West Delhi, Delhi	India
S1-277927901	Mazzola Holdings	217 252 Street, Bronx, NY	US
S1-502417969	Green Flex	35 Scotch Cap Road, Waterford, CT	US
S1-120031163	Orthopedic Prime Partners Corp	2608 Occidental Drive, Fairfax County, VA	US
S1-345642290	Medix India Private Limited	Basement, House No. 9 Sector 17A, Gurugram, Gurgaon, Haryana	India
S1-416359861	Indrraj Farms Pvt Ltd	A-1/296, Janakpuri New Delhi, New Delhi, Delhi	India
S1-828373503	Tiertza Litten Flex	2562 M Place, Auburn, WA	US
S1-747613705	OV Workforce Limited	12-13-1274, C 204 Tarnaka, Hyderabad, Telangana	India
S1-228258817	Thomas Interests Inc	7548 Monte Brazil Drive, Sacramento, CA	US
S1-84147103	Preferred Defense Ventures, LLC	1802 Cruiser Lane, Unit UNIT 214, Belgrade, MT	US
S1-813444299	Royal Value Tower	2151 East Avenue, Unit Unit H, Brighton, NY	US
S1-964061525	Haveli Warehousing Care	Sno 118/26 Balaji, Chowksus Road Pashan, Haveli, Pune, Maharashtra	India
S1-160255790	Kpm Hawk Private Limited	1-1-894, Siddarth Nagar Rec Post, Warangal, Warangal Urban, Telangana	India
S1-22124568	New Delhi Works	4Th Floor 150-A, Sant Nagar, New Delhi, South Delhi, Delhi	India
S1-906935157	Bridgette Rivas Internet-Prince Edward County	105 Haskins Ln, Prince Edward County, VA	US
S1-677752871	Maryl Simonton, Esq.	7175 Camelback Road, Unit UNIT 208, Scottsdale, AZ	US
S1-752991527	Ernakulam Agro Private Limited	Xxvii/1610Anear Shipyard Cochin, Ernakulam, Idukki, Kerala	India
S1-915047994	Superior Medical Associates	15254 Sequoia Street, Unit UNIT A, Hesperia, CA	US
S1-40003273	JI Consultancy	C25 Cc Colony, New Delhi, Delhi	India
S1-238333381	Bharat One Consultants Pvt Ltd	Villa No 47, Kismathpur, L B Prasad Eye Institute, Shaikpet, Hyderabad, Telangana	India
S1-78862532	Carbone and Duncan Japan LLC	10637 Leclaire Avenue, Oak Lawn, IL	US
S1-917607666	Hildegaard Martin Great Information LLC	Meriden, 72 Amity Street, CT	US
S1-769798370	Shyam Krishna Hospitality	B-103, 1St Floor, Elenza Crest, Sindhubhavan Road, Bodakdev, Ahmadabad City, Ahmedabad, Gujarat	India
S1-161451865	Black Infra Private Limited	E-49/5, First Flr Okhla, Industrial Area Phase Ii, New Delhi, Delhi	India
S1-515169256	Balaji Solutions Private Limited	Asn Starchem Private Limited C/O Mr Shailendra Gupta 26 Arogya Nagar, Kota, Rajasthan	India
S1-215828262	Soex Obic, LLC	2220 24th Avenue, Nashville, TN	US
S1-500151913	Diversified Telecom Dynamics Group	1857 4th Avenue, Sacramento, CA	US
S1-462745642	Star Marketing Union LLC	321 Saint Nicholas Avenue, Worcester, MA	US
S1-773121823	Balakrishna Institute of Technology Private Limited	Ground Floor H.No. 84, Village Chhawla, Najafgarh, Delhi, South Delhi, Delhi	India
S1-372838458	Buckner & Rowe Consulting	231 10th Street, Newark, OH	US
S1-761338125	Cardiology Health	14839 Elmtex Drive, Humble, TX	US
S1-903810934	Cbs Beverage Pvt Ltd	Rs.No.57 Opp. Plot No.124, Sosiya Yard, Talaja, Bhavnagar, Gujarat	India
S1-627285279	Great Insurance Ltd	13219 Annika Drive, Litchfield Park, AZ	US
S1-156549428	Bombay Galaxy Software Private Limited	Karad, Samarth Apart.-210.3, Maharashtra, Flat No A1, Satara	India
S1-654347800	ELK Custom Telefonica	1575 Belmont Avenue, Baton Rouge City, LA	US
S1-401398178	Health Bay Coalition PC	935 Gardner Road, Wythe County, VA	US
S1-635789462	Vision Foods Limited	C/O Sarita Kumari Meena, Basant Vihar Colony, Jaipur, Rajasthan	India
S1-823013821	Newsome Focus	3040 Millers Way, Unit 11, Sevierville, TN	US
S1-888202611	Pediatric Dentistry Partners LLC	112 Rolling Acres Lane, Clinton, TN	US
S1-909132549	Nenaia Co	1932 Ave P, Scottsbluff, NE	US
S1-259814901	Brown Classic Pharmaceutical, LLC	537 81 Street, New York, NY	US
S1-643443638	Jerrie Hoskins American Tech	365 Morris Road, Laceys Spring, AL	US
S1-435279541	Young, Mcknight and Sullivan Inc	525 Rose Drive, Waverly, OH	US
S1-723082722	Ear Nose & Throat Physicians Inc	Clarkstown, NY, 5 Lambiance Court	US
S1-644010795	Lotus Foundation Private Limited	1/2234, Ram Nagar Shahdara, Near Pandit Chowk, Delhi, Delhi, East Delhi, Delhi	India
S1-740653166	Bernadette Pace, Ph.D.	4225 Regents Park, Hamburg, NY	US
S1-638694960	Glyphyx Futurecrest	AL, 627 East Street, Sulligent	US
S1-807758362	Innovative Custom Sab, LLC	3449 Creek Road, Porter, NY	US
S1-788141772	Junina A. Borden, P.A.	6520 173rd Place, Tinley Park, IL	US
S1-608935550	Daugherty Charter School	8411 Ada Street, Chicago, IL	US
S1-122016318	Shakti Builders Limited	New Delhi, Farm No. 22, Delhi, South Drive, Dlf Chhattarpur, South Delhi	India
S1-402858407	Forge	455 Central Park, New York, NY	US
S1-161396799	Mccorvey and Turner Chemical	5616 Herring Point Circle, Seymour, TX	US
S1-667933817	Integrated Renaissancere	1838 Ocean View Avenue, Norfolk City, VA	US
S1-764867519	Safalya Clothing Private Limited	23, Iind Floor Parmanand Colony, New Delhi, Delhi	India
S1-563779473	Asha & Co	Flat No-8178, Tower 8, Begur Koppa Road, Bangalore South, Bangalore, Karnataka	India
S1-510350611	Wolf Navios	852 County Road 3479A, Cleveland, TX	US
S1-866544288	Vargo, Wagner and Gardner Bleichroeder, Inc	Unit 106, NC, Cary, 915 Dudley Park Loop	US
S1-909905192	Jansen Keystone Top	IL, 185 Plainview Drive, Bolingbrook	US
S1-760923570	Patsy's Vanguard Advertising Corporation	3710 Camelback Road, Unit 139, Phoenix, AZ	US
S1-441470524	Pb & Sons Private Limited	D-66, Sector - 6, Noida, Noida, Gautam Buddha Nagar, Uttar Pradesh	India
S1-341452471	Katerine Wright, MD, M.D., P.C.	4116 Orleans Place, Alexandria City, VA	US
S1-200723243	Unique & Sons Private Limited	Plot No.118, 119 Syno:190, Ip Chandanvelly, Rangareddy, K.V.Rangareddy, Telangana	India
S1-65212889	1084 Highland Blvd Properties P.C.	2916 Mckinley Street, Anderson, IN	US
S1-291579133	Pune Bharat Limited	165, E Samudra, Hoshatti, Bharamasagara, Chitradurga, Karnataka	India
S1-655396087	Desert Fund	745 Merrow Road, Unit Unit 176, Coventry, CT	US
S1-854547437	Tolbert Biologics	5645 Shimerville Road, Clarence, NY	US
S1-566683104	South It Limited	Parsauni, Bihar, Sitamarhi, Ward No 6	India
S1-219412230	Carey, Tropp & Chadwick LLC	Cottage Grove, 276 7th Street, OR	US
S1-38315331	Richardson Elite Krakacquisition LLC	139 Concord Street, Ashland, MA	US
S1-411727024	Zee Consultants	Jajpur, Orissa, Jajpur, At/Po:Areikana Balichandrapur	India
S1-916542392	Vision Consultancy Private Limited	Flat No-A-007 Shivprerna, Apt Nr Abhinav School, Kalyan, Thane, Maharashtra	India
S1-906863797	Skeen Paper	2100 Columbia Avenue, Hyattsville, MD	US
S1-31006198	Stunning Consultancy Private Limited	C/O Devesh Singh, H No 47, Alia Bulbul, Risia, Bahraich, Uttar Pradesh	India
S1-214393505	Foot & Ankle Physicians PC	Lakeside, 4765 Oakwood Street, AZ	US
S1-921871456	Honesty Gas (India)	Shop No 1, 2 Floor, Angel Complex, 1St Main Road, Bramaramba Extensin, Chamarajanagar, Chamarajanagara, Chamrajnagar, Karnataka	India
S1-552104902	Ujjain Network Limited	27/3 Udhyogpuri Agar Road, R2 Kpz-5216, Ujjain, Madhya Pradesh	India
S1-443523751	Ridge Clear Navios	18 Monroe Street, Pelham Manor, NY	US
S1-119038018	Huzur Cold LLP	H No Dhv-5/85, Danish Hills View Colony, Huzur, Bhopal, Madhya Pradesh	India
S1-694278114	Allied Pan Inc	112 Jefferson Street, Williamsburg City, VA	US
S1-183354029	Signature Stores	1011 Gallagher Avenue, City Of Green Bay, WI	US
S1-993540284	Sun Logistics Private Limited	34, 2015, B-5, Navaratna Apartments, Bhagyadhara Lane, Palarivattom, Kerala	India
S1-133274923	Vision Center LLC	10701 750, Amboy, IN	US
S1-646625751	Apex Consumer Advisors	1416 Wildwood Drive, Nashville, AR	US
S1-618751713	#Sefloify Republic LLC	N2261 Prairie River Avenue, Town Of Merrill, WI	US
S1-355365367	Innotech Holdings Limited	Vill. - Krishnanagar (Patpur), P.O. - Sihar, P.S. - Kotalpur, Bankura, West Bengal	India
S1-213140564	Ornelas Clear Bain	2840 Andros Street, Costa Mesa, CA	US
S1-484250863	Anilesh Labs Private Limited	310, Kinara Apartment, Behind Shree Apartment, Surat, Gujarat	India
S1-582948204	Dalton, Hanson & Pierce LLC	9245 Winding Oak Drive, Fair Oaks, CA	US
S1-584272965	Shandee Powers Magna LLC	13 Meadow Avenue, Weekapaug, RI	US
S1-229532226	Hrv Traders Private Limited	359, Barahani, Chandauli, Chandauli, Uttar Pradesh	India
S1-515258702	Cunningham and Eadie Construction Inc	560 Oklahoma Avenue, Washington, DC	US
S1-243560817	National Fellowship VI LLC	9404 Lona Lane, Albuquerque, NM	US
S1-773696322	Narayan Shopping Associates	Rajkot, C-804 Imperial Heights 150 Feet Ring Road - Opp. Big Bazar, Rajkot, Gujarat	India
S1-93926066	Paras Energy	C/O P.Manikantha, Po-Charamula, Telengashi, Nabarangpur, Orissa	India
S1-98096639	Carrion Equity Partners Inc.	TX, 3934 Lupin Bush Lane, Manvel	US
S1-466346556	Quiroz Reliable Alchemy Inc	116 Papineau Street, Papineau, IL	US
S1-777210964	Davis Family Office	88 Olive Circle, Lebanon, TN	US
S1-138897230	Clark, Hensley & Patton LLC	440 Webster Street, Kasota, MN	US
S1-227971726	Wilson's Value Tax Service	10022 Switchyard Drive, Cornelius, NC	US
S1-6115192	Mccormick Apex Supply L.L.C.	19 Rolling Hills Drive, North Branford, CT	US
S1-342368360	Urology Care	3749 9N, Moriah, NY	US
S1-732252654	Surgical Health	Bldg 7, Leominster, MA, 380 Central Street	US
S1-999013499	Mari Sousa Pearl LLC	114 Main Street, Unit Unit A, Norristown Borough, PA	US
S1-366289125	E 4 Value Debt Inc.	1400 32nd Avenue, Bldg Building 210, Fargo, ND	US
S1-854227623	Shiv Investment Private Limited	Delhi, Gali No. 12, Kailash Nagar, 9/2347, Delhi	India
S1-843172679	Onus Hospital	12/356-7, Nadamalika Road, Vegetable Market, Mannarkkad, Palakkad, Kerala	India
S1-430213255	Lotus Exports Private Limited	Khasra No. 265, Basai, Enclave Part Ii, Basai Road, Gurgaon, Haryana	India
S1-261717453	India Seva Innovations Pvt. Ltd.	C/O Shobhnath Yadav, Vill Malak Inside Raja Rahul City Po Nilmatha, Lucknow, Uttar Pradesh	India
S1-566149884	Nakshatra Solar	Raj Mahal Veer Nariman Roadchurch Gate, Mumbai, Maharashtra	India
S1-512364754	Hayes and Shaver LLC	862 Right Fork Of Jesse Fork Road, Saint Albans, WV	US
S1-181083675	Saltsman Martin Inc	739 Hebron Drive, Evansville, IN	US
S1-733827795	Reliable Cloud Enterprises LLC	6513 22nd Avenue, Phoenix, AZ	US
S1-527148562	Super Logistics Private Limited	C-565 & C-565 B, Delhi, New Delhi, Old N-10, G/F Shop, Kh No. 116/10/1, Mahavir Enclave Part-3, Uttamnagar	India
S1-433603542	Vision Care Care	2402 Phyllis Drive, Copperas Cove, TX	US
S1-464974641	Family Fellowship III Inc.	104 Fleming Avenue, Geneva, AL	US
S1-962515036	Welcome Trust Partners	3-154, Vighneswara Nagar, Valasapakala, Kakinada, East Godavari, Andhra Pradesh	India
S1-877878422	Germain and Ecker Good Inc	12 Maple Road, ME, Belmont	US
S1-139367218	Hotel Agro Private Limited	Floor-2, Plot-30, Towerno.4, Strata Planet Godrej Keshavrao Khadye Marg, Saat Rasta, Jacob, Circle, 202, Maharashtra, Mumbai City, Mumbai	India
S1-380308502	Indo Global Private Limited	Plot No 128 179, Saroornagar, K.V.Rangareddy, Telangana, Sai Balaji Township	India
S1-668853242	Shivam Agro Private Limited	H.No.16-1-278/2 Rt Saidabad Colony, Hyderabad, Telangana	India
S1-391642916	GEE Center Co	1-3-260/3/A/1, Pahadi Ngr, Bhuvanagiri, Yadadri, Bhongiri, Nalgonda, Telangana	India
S1-870131289	Eastern & Partners	Plot No. 7, Marwah Estate Saki Vihar Road, Andheri (East), Mumbai, Mumbai City, Maharashtra	India
